"pure NP";"NP-RNA"
"1";2.74;1.63
"2";2.75;2.57
"3";6.56;4.01
"4";3.95;1.73
"5";6.61;6.21
"6";2.77;2.44
"7";4.12;2.96
"8";3.33;2.59
"9";5.74;5.92
"10";5.2;5.49
"11";1.95;1.69
"12";6.16;4.34
"13";2.44;2.34
"14";3.83;2.73
"15";1.43;1.25
"16";3.29;2.05
"17";6.43;4.28
"18";6.39;6.77
"19";5.16;2.02
"20";2.65;2.22
"21";5.68;3.73
"22";4.68;2.22
"23";4.67;3.01
"24";0.25;0.25
"25";0.52;0.41
"26";0.44;0.46
"27";0.36;0.34
"28";0.6;0.42
"29";0.6;0.42
"30";0.43;0.44
"31";0.37;0.41
"32";0.47;0.33
"33";0.48;0.43
"34";0.38;0.36
"35";0.39;0.46
"36";0.49;0.58
"37";0.5;0.3
